id,city,name,address,region,category,led_size,impressions_per_day,Daily operating hours,Installation Date
104,Christchurch, CHRISTCHURCH,9 Panels,,,,,,
105,Christchurch, RESTAURANT,,,,,,,
106,Christchurch,Fuji Restaurant,"16 Nelson Street, Riccarton, Christchurch",Christchurch,Restaurant,1.05*2.01m,160,8,2024/7/22
107,Christchurch,South Garden Chinese Restaurant,"4/6 Brake Street, Upper Riccarton, Christchurch",Christchurch,Restaurant,1.05*2.01m,360,8,2024/7/22
108,Christchurch,Red Bowl Chinese Restaurant,"57 Mandeville St, Riccarton, Christchurch",Christchurch,Restaurant,1.05*2.01m,240,8,2024/7/22
109,Christchurch,King Made Noodles Christchurch,"104 Riccarton Road, Riccarton, Christchurch",Christchurch,Restaurant,1.05*2.01m,96,8,2024/7/23
110,Christchurch,Mr Charcoal - CHCH,"49 Manchester Street, Central City, Christchurch",Christchurch,Restaurant,1.05*2.01m,260,8,2024/7/23
111,Christchurch,Phoenix Restaurant,"49 Manchester Street, Central City, Christchurch",Christchurch,Restaurant,1.05*2.01m,280,8,2024/7/23
112,Christchurch,Taichi Restaurant,"544 Memorial Avenue, Christchurch 8053",Christchurch,Restaurant,1.05*2.01m,260,8,2024/7/23
113,Christchurch,J-BINGS,"Lichfield Street, Christchurch Central City, Christchurch 8011",Christchurch,Restaurant,1.05*2.01m,300,8,2025/4/25
114,Christchurch,Nan Hotpot Christchurch,"8 Brake Street, Upper Riccarton, Christchurch 8041",Christchurch,Restaurant,1.05*2.01m,105,8,2026/3/19
115,Queenstown, QUEENSTOWN,5 Panels,,,,,,
116,Queenstown, RESTAURANT,,,,,,,
117,Queenstown,King Made Noodles Queenstown,"5 Athol Street, Queenstown 9300",Queenstown,Restaurant,1.05*2.01m,300,8,2024/4/5
118,Queenstown,Cody's Restaurant,"Level 1/24 Beach Street, Queenstown 9300",Queenstown,Restaurant,1.05*2.01m,400,8,2024/4/5
119,Queenstown,Frankton Ale House,"1 Gray Street, Frankton, Queenstown",Queenstown,Restaurant,1.05*2.01m,280,8,2024/12/11
120,Queenstown,No.8 Noodle Bar,"Shop A12/19 Grant Road, Frankton, Queenstown",Queenstown,Restaurant,1.05*2.01m,130,8,2024/12/11
121,Queenstown, SUPERMARKET,,,,,,,
122,Queenstown,New Star Asian Supermarket,"4/5 Hawthorne Drive, Frankton, Queenstown 9300",Queenstown,Supermarket,1.05*2.01m,500,10,2024/12/11
123,Hamilton, HAMILTON,5 Panels,,,,,,
124,Hamilton, RESTAURANT,,,,,,,
125,Hamilton,Canton Hong Kong Restaurant,"32 Alexandra Street, Hamilton Central, Hamilton 3204",Hamilton,Restaurant,1.05*2.01m,250,8,2025/6/2
126,Hamilton,Nan Hot Pot Limited,"232 Victoria Street, Hamilton Central, Hamilton 3204",Hamilton,Restaurant,1.05*2.01m,120,8,2025/6/29
127,Hamilton, SUPERMARKET,,,,,,,
128,Hamilton,New Save Supermarket City,"130-136 Tristram Street, Central, Hamilton",Hamilton,Supermarket,1.05*2.01m,800,10,2024/7/10
129,Hamilton,New Save Supermarket Northgate,"The Base Parade, Northgate, Hamilton",Hamilton,Supermarket,1.05*2.01m,700,10,2024/7/10
